[breadroll-mall] 2022-05-19 08:48:53.717 [main] INFO  com.cda.PmallServer - Starting PmallServer on LAPTOP-GR04VPM8 with PID 14264 (C:\Users\陈大澳\Desktop\毕设相关\项目开发文档\Springboot-Mall\target\classes started by 陈大澳 in C:\Users\陈大澳\Desktop\毕设相关\项目开发文档\Springboot-Mall)
[breadroll-mall] 2022-05-19 08:48:53.728 [main] INFO  com.cda.PmallServer - The following profiles are active: redis,mail,jdbc
[breadroll-mall] 2022-05-19 08:48:55.038 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[breadroll-mall] 2022-05-19 08:48:55.046 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
[breadroll-mall] 2022-05-19 08:48:55.095 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41ms. Found 0 Elasticsearch repository interfaces.
[breadroll-mall] 2022-05-19 08:48:55.099 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[breadroll-mall] 2022-05-19 08:48:55.100 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
[breadroll-mall] 2022-05-19 08:48:55.121 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21ms. Found 0 Reactive Elasticsearch repository interfaces.
[breadroll-mall] 2022-05-19 08:48:55.131 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[breadroll-mall] 2022-05-19 08:48:55.131 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[breadroll-mall] 2022-05-19 08:48:55.155 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 JPA repository interfaces.
[breadroll-mall] 2022-05-19 08:48:55.172 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[breadroll-mall] 2022-05-19 08:48:55.173 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[breadroll-mall] 2022-05-19 08:48:55.204 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
[breadroll-mall] 2022-05-19 08:48:55.636 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - Post-processing PropertySource instances
[breadroll-mall] 2022-05-19 08:48:55.678 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
[breadroll-mall] 2022-05-19 08:48:55.678 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
[breadroll-mall] 2022-05-19 08:48:55.679 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
[breadroll-mall] 2022-05-19 08:48:55.679 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
[breadroll-mall] 2022-05-19 08:48:55.680 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
